Adaptability,Sensitivity,Precision,Is parent circuit,Circuit idx,Species,Step,Params energy,Params equilibrium constants,Params rates
829.5181884765625,0.3663374185562134,227292.53125,True,1772,RNA_2,17,"[-0.36256638169288635, -1.0473839044570923, -11.821329116821289, -1.6484736204147339, -24.9941463470459, -24.9941463470459]","[2.241725951535045e-06, 3.8771504478063434e-06, 0.021466664969921112, 6.271227903198451e-06, 809.9723510742188, 809.9723510742188]","[673.4011840820312, 389.3532409667969, 0.07032210379838943, 240.7153778076172, 1.8637439325175365e-06, 1.8637439325175365e-06]"
829.4539794921875,0.338265597820282,545076.5,True,1549,RNA_2,15,"[-0.6075516939163208, -1.1148395538330078, -11.18663501739502, -2.7386398315429688, -22.030160903930664, -24.907453536987305]","[2.7270875762042124e-06, 4.092125891475007e-06, 0.012919604778289795, 1.500082180427853e-05, 75.62689208984375, 755.701171875]","[553.5505981445312, 368.89898681640625, 0.11684420704841614, 100.63322448730469, 1.996090213651769e-05, 1.997589833990787e-06]"
829.444091796875,0.35554343461990356,300635.90625,True,1212,RNA_2,12,"[-0.7284095287322998, -0.7995420694351196, -11.555773735046387, -4.698145866394043, -24.9941463470459, -24.9941463470459]","[3.003929123224225e-06, 3.1798272175365128e-06, 0.01735805906355381, 7.193118653958663e-05, 809.9723510742188, 809.9723510742188]","[502.5354919433594, 474.73681640625, 0.08696715533733368, 20.986459732055664, 1.8637439325175365e-06, 1.8637439325175365e-06]"
829.4354248046875,0.3653588891029358,223553.734375,True,1558,RNA_2,15,"[-0.5844871401786804, -0.7150117754936218, -11.79793930053711, -3.032667636871338, -24.9941463470459, -24.9941463470459]","[2.6772295314003713e-06, 2.971902176795993e-06, 0.021068718284368515, 1.8978889784193598e-05, 809.9723510742188, 809.9723510742188]","[563.859375, 507.95111083984375, 0.07165034115314484, 79.54000854492188, 1.8637439325175365e-06, 1.8637439325175365e-06]"
829.4099731445312,0.3592672049999237,263288.71875,True,1690,RNA_2,16,"[-0.3014218509197235, -1.3235142230987549, -11.647672653198242, -2.0240819454193115, -23.978612899780273, -24.9941463470459]","[2.1347098027035827e-06, 4.835595973418094e-06, 0.018682289868593216, 8.469392014376353e-06, 359.44940185546875, 809.9723510742188]","[707.1597900390625, 312.1809387207031, 0.080802783370018, 178.23959350585938, 4.199703653284814e-06, 1.8637439325175365e-06]"
829.3431396484375,0.36721912026405334,202066.5625,True,1499,RNA_2,14,"[-0.5496424436569214, -1.140465497970581, -11.844429969787598, -2.361375331878662, -24.9941463470459, -23.71613121032715]","[2.603631173769827e-06, 4.176884885964682e-06, 0.021867072209715843, 1.1092766726505943e-05, 809.9723510742188, 291.3681945800781]","[579.79833984375, 361.4131164550781, 0.06903444230556488, 136.08697509765625, 1.8637439325175365e-06, 5.181008418730926e-06]"
829.1318359375,0.37148454785346985,161635.640625,True,864,RNA_2,8,"[-0.6290785074234009, -1.3988265991210938, -11.963047981262207, -2.321089506149292, -24.9941463470459, -24.173355102539062]","[2.774459971988108e-06, 5.135895207786234e-06, 0.024043777957558632, 1.0740964171418454e-05, 809.9723510742188, 420.04705810546875]","[544.0990600585938, 293.92755126953125, 0.06278468668460846, 140.54428100585938, 1.8637439325175365e-06, 3.5938378459832165e-06]"
829.034423828125,0.36320438981056213,192224.625,True,1298,RNA_2,12,"[-0.6450056433677673, -1.0119783878326416, -11.746625900268555, -1.8309264183044434, -24.87108612060547, -24.9941463470459]","[2.8100362214900088e-06, 3.7688705560867675e-06, 0.020221343263983727, 7.256766821228666e-06, 734.0310668945312, 809.9723510742188]","[537.2105102539062, 400.5393371582031, 0.07465285062789917, 208.02391052246094, 2.0565628346957965e-06, 1.8637439325175365e-06]"
828.986328125,0.35880759358406067,212158.28125,True,1816,RNA_2,18,"[-0.787987470626831, -0.7513675093650818, -11.640398979187012, -4.068698406219482, -23.454212188720703, -24.9941463470459]","[3.150569909848855e-06, 3.0596083888667636e-06, 0.01857389323413372, 4.347351205069572e-05, 236.28819274902344, 809.9723510742188]","[479.1453857421875, 493.3902587890625, 0.08127434551715851, 34.72415542602539, 6.388728252204601e-06, 1.8637439325175365e-06]"
828.94580078125,0.35403329133987427,238643.546875,True,1745,RNA_2,17,"[-0.851629912853241, -0.7735757827758789, -11.5241117477417, -3.6347908973693848, -24.9941463470459, -24.9941463470459]","[3.3151309253298678e-06, 3.1144541026151273e-06, 0.01692390814423561, 3.072343679377809e-05, 809.9723510742188, 809.9723510742188]","[455.36090087890625, 484.7016296386719, 0.08919812738895416, 49.1345100402832, 1.8637439325175365e-06, 1.8637439325175365e-06]"
828.7944946289062,0.36425045132637024,165225.578125,True,1152,RNA_2,11,"[-0.6295405030250549, -0.9606826305389404, -11.772850036621094, -1.758222222328186, -23.828765869140625, -24.9941463470459]","[2.7754842903959798e-06, 3.617341235440108e-06, 0.020650053396821022, 6.84673068462871e-06, 318.8420104980469, 809.9723510742188]","[543.8982543945312, 417.31781005859375, 0.07310301065444946, 220.4820098876953, 4.734573849418666e-06, 1.8637439325175365e-06]"
828.7874755859375,0.3455330729484558,283808.03125,True,1682,RNA_2,16,"[-0.7053667306900024, -0.7887134552001953, -11.33103084564209, -3.7319869995117188, -24.9941463470459, -24.9941463470459]","[2.9490599899872905e-06, 3.152398676320445e-06, 0.01450165081769228, 3.320772884762846e-05, 809.9723510742188, 809.9723510742188]","[511.8854675292969, 478.867431640625, 0.10409718006849289, 45.45872497558594, 1.8637439325175365e-06, 1.8637439325175365e-06]"
828.7664794921875,0.3236091136932373,612449.0625,True,1363,RNA_2,13,"[-0.893012285232544, -1.0565013885498047, -10.92419719696045, -1.0069633722305298, -21.77570915222168, -24.9941463470459]","[3.4267163755430374e-06, 3.905533048964571e-06, 0.010472948662936687, 3.7537834032264072e-06, 61.69791793823242, 809.9723510742188]","[440.5328063964844, 386.523681640625, 0.14414097368717194, 402.14923095703125, 2.4467291950713843e-05, 1.8637439325175365e-06]"
828.75,0.3774026036262512,115633.875,True,1280,RNA_2,12,"[-0.3535352349281311, -1.2362035512924194, -12.085759162902832, -1.746231198310852, -24.149240493774414, -21.321720123291016]","[2.2255890144151635e-06, 4.50936295237625e-06, 0.026523873209953308, 6.781360752938781e-06, 412.0212097167969, 42.90801239013672]","[678.2838134765625, 334.7658996582031, 0.05691405013203621, 222.60739135742188, 3.663842790047056e-06, 3.5181794373784214e-05]"
828.7366943359375,0.3702629506587982,137195.40625,True,1242,RNA_2,12,"[-0.643652081489563, -1.1824053525924683, -11.928831100463867, -2.9569997787475586, -24.9941463470459, -24.456581115722656]","[2.8069960080756573e-06, 4.319404069974553e-06, 0.023394543677568436, 1.7864094843389466e-05, 809.9723510742188, 526.8665771484375]","[537.7923583984375, 349.4882507324219, 0.06452705711126328, 84.5036392211914, 1.8637439325175365e-06, 2.865205260604853e-06]"
828.7300415039062,0.3517424762248993,227361.609375,True,1623,RNA_2,16,"[-0.34421560168266296, -0.9886512160301208, -11.464714050292969, -1.6944600343704224, -24.774152755737305, -24.9941463470459]","[2.20905599235266e-06, 3.699190301631461e-06, 0.016138523817062378, 6.506236331915716e-06, 679.2608642578125, 809.9723510742188]","[683.3602294921875, 408.08416748046875, 0.09353897720575333, 232.02061462402344, 2.222387593064923e-06, 1.8637439325175365e-06]"
